Road Alignment,Land Use,Relation to Junction,Road Surface,Traffic Control Device,Required Number of Vehicles (Actor),Required Number of Vehicles (NV),Ego Vehicle,Actor,Day,Weather,Lightning,Radar Range,Radar Capability,LIDAR Range,LIDAR Capability,Camera Range,Camera Capability,Camera Accuracy,GPS Capability,SENSOR
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,0,0,0,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,0,0,0,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,0,0,1,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,0,0,1,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,1,0,0,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,1,0,0,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,1,0,1,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Week,Clear,Daylight,0,0,0,1,0,1,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,0,0,0,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,0,0,0,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,0,0,1,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,0,0,1,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,1,0,0,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,1,0,0,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,1,0,1,0,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Pedestrian,Weekend,Clear,Daylight,0,0,0,1,0,1,1,0,0
Straight,Rural,Non-Junction,Dry,No Traffic Controls,Acrot: 0,NV: 0,Braking,Cycle,Week,Clear,Daylight,0,0,0,0,0,0,0,0,0
